462: n = 800, k = 15, nl = 8
463: n = 800, k = 15, nl = 8
464: n = 800, k = 15, nl = 8
465: n = 800, k = 15, nl = 8
466: n = 800, k = 15, nl = 8
467: n = 800, k = 15, nl = 8
468: n = 800, k = 15, nl = 8
469: n = 800, k = 15, nl = 8
470: n = 800, k = 15, nl = 8
471: n = 800, k = 15, nl = 16
472: n = 800, k = 15, nl = 16
473: n = 800, k = 15, nl = 16
474: n = 800, k = 15, nl = 16
475: n = 800, k = 15, nl = 16
476: n = 800, k = 15, nl = 16
477: n = 800, k = 15, nl = 16
478: n = 800, k = 15, nl = 16
479: n = 800, k = 15, nl = 16
480: n = 800, k = 15, nl = 16
